name,name_display,address,category,popos_category,neighborhood,description,photo_url,year_built,reject,reject_reason,reject_auth,latitude,longitude,route_order,open,open_hours,open_days,open_notes,seating,restrooms,wifi,views,food,indoor,exercise,art,dogs,playground,seating_notes,restrooms_notes,wifi_notes,views_notes,food_notes,exercise_notes,art_notes,dogs_notes,playground_notes,transportation,popos_id_spur,popos_rating_spur,popos_downtown_plan,notes
1 Market St,One Market,1 Market St,popos,plaza,Financial District,This large plaza is marked by the hexagonal tower that faces the Mission Street entrance. Several food services open to the premises. This is a great spot to stop of a meal or sit down and soak up some sun.,img/popos/1_market_st.jpg,,,,,37.7941919,-122.3948841,1,TRUE,00:00-24:00,,Open At All Times,,,,,,,,,,,,,,,,,,,,,34,Excellent,FALSE,
123 Mission St,123 Mission,123 Mission St,popos,urban garden,SOMA,"This shady plaza is the perfect spot to escape the congestion of the downtown area. It is subdivided in to three alcoves by densely filled planters, all built at sitting height. The lush green setting softens the concrete and granite surroundings. Four food vendors are located nearby.",img/popos/123_mission_st.jpg,,,,,37.7918986,-122.3946978,2,TRUE,00:00-24:00,,Open At All Times,TRUE,,,,TRUE,,,,,,122 linear seats,No signs for any,,,Yes,,,,,,33,Excellent,TRUE,
14 Fremont St,14 Fremont,14 Fremont St,popos,pedestrian walkway & urban garden,SOMA,"This wide open space is a walkway connecting Fremont Street and 1st Street.  Half of the space is designated for customer seating for the adjacent cafes, while the other half is a cleanly manicured urban garden with patches of landscaped grass and strategically placed planters with trees.",img/popos/14_fremont_st.jpg,,,,,37.7913511,-122.3978765,5,TRUE,00:00-24:00,,Open At All Times,,,,,,,,,,,,,,,,,,,,,27,Excellent,FALSE,
425 Market St,425 Market,425 Market St,popos,urban garden,Financial District,"This shady urban garden is a great gem tucked between two highrises. Its sleek design features granite seating, flowers, planters, and trees. This is a great spot for relaxing with a good book, or sipping your favorite beverage. Open at all times.",img/popos/425_market_st.jpg,,,,,37.7912788,-122.3986185,4,TRUE,00:00-24:00,,Open At All Times,,,,,,,,,,,,,,,,,,,,,26,Excellent,FALSE,
525 Market St,525 Market,525 Market St,popos,urban garden,Financial District,"This two tiered, urban garden has a granite fountain and plenty of seating. Landscaping softens the hard granite setting and areas offer great patches of sun. A restaurant is located on site and opens in to the space. Open at all times.",img/popos/525_market_st.jpg,,,,,37.7905646,-122.3987976,3,TRUE,00:00-24:00,,Open At All Times,,,,,,,,,,,,,,,,,,,,,25,Excellent,FALSE,
Citygroup Center,Citygroup Center,1 Sansome St,popos,greenhouse,Financial District,"Built in the shell of the 1912 neoclassical London-Paris Bank building, this greenhouse provides a more sheltered space, while still letting in plenty of natural light. With its marble arches and corinthian columns, this POPOS is reminiscent of a Roman setting. Palm trees and other plants give a natural repreive to the otherwise cold setting, and an Art Deco bronze sculputer adds an artistic flair to the space. A cafe sits on the premise with plenty of tables and chairs.",img/popos/citygroup_center.jpg,,,,,37.7942149,-122.4014603,1,FALSE,,,Open Business Hours,,,,,,,,,,,,,,,,,,,,,19,Excellent,FALSE,
100 Pine St,100 Pine,100 Pine St,popos,urban garden,Financial District,"Tucked between two skyscrapers, this hidden urban garden is a wonderful little gem that can be accessed either through the front entrance of the building or a narrow walkway on Front Street. This shaded space offers water fountains, beautiful landscaping, and art. Food is offered on the site and there are designer tables and chairs to sit and eat.",img/popos/100-pine-640.jpg,,,,,37.7924716,-122.3988354,5,FALSE,,,Open Business Hours,TRUE,,,,TRUE,,,,,,,,,,Yes.,,,,,,16,Excellent,FALSE,
101 California St,101 California,101 California St,popos,urban garden,Financial District,Three large stepped pyramids used for seating and planter beds occupy the perimeter of this expansive plaza. A granite fountain gives the surroundings a peaceful quality. There are two restaurants on the buildings ground floor with ample outdoor seating. This is a great place to stop for lunch and catch some sun.,img/popos/101-california-640.jpg,,,,,37.7933181,-122.3982803,6,TRUE,,,Open At All Times,,,,,,,,,,,"None. Stairs? Some planter box seating but doesn't meet linear seating specs (12'' H and 9'' depth""",None,,,None,,,,,,15,Excellent,TRUE,
One California St,One California,One California St,popos,snippet,Financial District,"Located directly across the street from 50 California, this mini plaza feels like an extension to its neighbor across the way. This snippet also features various shaped planters placed on a striped pavement of green stone and rose-colored granite. The cafe on the ground floor of the building fills some of the space with tables and chairs for its customers. Open at all times.",img/popos/one-california-640.jpg,,TRUE,"Outdoor planters. Nice seating and sidewalk space but ultimately not interesting, considering its proximity to other quality POPOS.",LH,37.7933614,-122.3972064,,TRUE,,,Open At All Times,,,,,,,,,,,,,,,,,,,,,14,Excellent,FALSE,
50 California St,50 California,50 California St,popos,snippet,Financial District,"Occupying the building setback, this small plaza and wrap-around walkway is a lovely little spot to stop and sit. It is scattered with various shaped planters, each with ledges placed at sitting height. A small cafe with outdoor seating sits to the side of the space. Open at all times.",img/popos/50-california-640.jpg,,,,,37.793841,-122.39733,7,TRUE,00:00-24:00,,Open At All Times,,,,,,,,,,,,,,,,,,,,,13,Excellent,FALSE,
343 Sansome St,343 Sansome,343 Sansome St,popos,terrace,Financial District,"This fifteenth floor open space has excellent views of surrounding buildings and streets, as well as the San Francisco Bay. The open terrace includes various types of seating, beautiful olive trees, and Joan Brown's Four Seasons obelisk which stands in the center. Adjacent to the building, just off Leidesdorff Street, sits a lunchtime mall which is available from 11am to 2pm. Two food vendors are on the ground floor of the building.",img/popos/343-sansome-640.jpg,,,,,37.7930616,-122.400292,3,FALSE,10:00-17:00,Mo-Fr,Open Business Hours,TRUE,,,,,,,,,,"18 chairs, 50 linear seats on planter box sizes.",None,,,None,,,,,,6,Excellent,TRUE,
Redwood Park,Redwood Park,535 Washington St,popos,urban park,Financial District,"Located at the base of the Transamerica Pyramid, this hidden oasis features a beautiful redwood grove, luscious ferns, and a tall water fountain, making the perfect escape from the bustling surroundings. The area also has an array of bronze sculptures, grassy patches, and ample seating. Take-out food vendors are nearby. This urban park is closed after office hours.",img/popos/redwood-park-01-640.jpg,,,,,37.795211,-122.4021365,1,FALSE,,,Open Business Hours,TRUE,,,,FALSE,,,,,,,,,,None,,,,,,1,Excellent,FALSE,
