name,name_display,address,category,popos_category,neighborhood,description,photo_url,year_built,reject,reject_reason,reject_auth,latitude,longitude,route_order,open,open_hours,open_days,open_notes,seating,restrooms,wifi,views,food,indoor,exercise,art,dogs,playground,seating_notes,restrooms_notes,wifi_notes,views_notes,food_notes,exercise_notes,art_notes,dogs_notes,playground_notes,transportation,popos_id_spur,popos_rating_spur,popos_downtown_plan,notes,created_at,updated_at
345 California Center,345 California Center,345 California St,popos,plaza,Financial District,"Two POPOS can be found on the west and east sides of the building, both connected by an interior walkway. The East side features a row of benches and some planters. This shady area is a sheltered alcove, great for meeting someone before heading to another destination, or just to use as a shortcut to the other side of the block. The West side can be entered from Sansome Street, next to the Mandarin Hotel. This shady area features a few granite benches and planters with tall bamboo.",img/popos/345-california-02-640.jpg,,,,,37.79277,-122.40047,4,TRUE,00:00-24:00,,Open At All Times,TRUE,,,,TRUE,,,,,,Bench for ~3 people; 10 chairs w/ tables,None,,,Cafe on one snippet.,,,,,,0,,TRUE,,2013-07-13 04:23:43 UTC,2013-07-13 04:23:43 UTC
120 Howard St,120 Howard,120 Howard St,popos,,SOMA,This space features plants along the entirety of the snippet and is served by an espresso cart.,img/popos/120_howard_st.jpg,,,,,37.79107,-122.39305,4,FALSE,08:00-18:00,,Open Business Hours,,,,,TRUE,,,,,,None.,None,,,Cart,,,,,,0,,TRUE,,2013-07-13 04:23:43 UTC,2013-07-13 04:23:43 UTC
1 Kearny St,One Kearny,1 Kearny St,popos,rooftop garden,Financial District,This rooftop terrace has extensive views of Market St. as well as rooftop architecture of nearby buildings. Landscaping and bench seating support this space.,img/popos/1_Kearny.jpg,,,,,37.78784,-122.40376,2,FALSE,,,Open Business Hours,TRUE,TRUE,,,,,,,,,23 linear seats.,Yes,,,No,,,,,,0,,TRUE,,2013-07-13 04:23:43 UTC,2013-07-13 04:23:43 UTC
1 Bush Street,One Bush,1 Bush Street,popos,urban garden,Financial District,This Urban Garden provides a sunken space featuring a water fountain. Space is accessed with stairs from Bush Street and curved walkways from Market street.,img/popos/1_bush_street.jpg,,,,,37.790981,-122.400453,2,TRUE,,,Open At All Times,FALSE,,,,,,,,,,,,,,,,,,,,18,Excellent,FALSE,,2013-07-13 04:23:43 UTC,2013-07-13 04:23:43 UTC
Marathon Plaza,303 Second Street Plaza,303 Second St,popos,plaza,SOMA,"Large, triangular urban garden facing Second Street with a water feature, ample seating, and lush landscaping. Deli and restaurant open to the park provide food and additional seating.",img/popos/marathon_plaza.jpg,,,,,37.78522,-122.3957,,TRUE,00:00-24:00,,Open At All Times,TRUE,,,,TRUE,,,,,,,,,,Yes,,,,,,55,Excellent,TRUE,,2013-07-13 04:23:43 UTC,2013-07-13 04:23:43 UTC
101 2nd St,101 Second,101 2nd St,popos,greenhouse,SOMA,"This expansive five-story greenhouse features large trees, an abundance of natural light, and plenty of art. There are two balcony spaces with designer tables and chairs that overlook the enclosed open space. A cafe sits on the property and there is sometimes entertainment at noon for visitors to enjoy.",img/popos/101_2nd_st.jpg,,,,,37.78803,-122.39953,,FALSE,08:00-18:00,,Open Business Hours,TRUE,,,,TRUE,,,,,,"25 linear seats on bench/ ledge. 23 tables, 69 chairs",,,,Cafe,,,,,,51,Excellent,TRUE,,2013-07-13 04:23:43 UTC,2013-07-13 04:23:43 UTC
555 Mission St,555 Mission,555 Mission St,popos,plaza,SOMA,This large plaza has several art and landscaping features. It is located in front of 555 Mission Streets and runs along the west side of the building. There are several distinct sitting areas with different styles of seating.,img/popos/555_mission_st.jpg,,,,,37.7884,-122.39891,,TRUE,00:00-24:00,,Open At All Times,TRUE,,,,TRUE,,,,,,100 linear seats and benches.,None,,,Empty retail on the plaza,,,,,,50,Excellent,TRUE,,2013-07-13 04:23:43 UTC,2013-07-13 04:23:43 UTC
560 Mission St,560 Mission,560 Mission St,popos,urban garden,SOMA,"This beautiful urban garden is accessible from both Mission and Jessie Streets. A tall bamboo grove transforms the surrounding concrete jungle to a more tranquil setting. Grass-coveredTerraced platforms, all at sitting height, step down toward a granite plaza filled with seating. Two cafes sit on the premise, making this a perfect lunch time spot. A shallow pool with a large kinetic sculpture adds to the allurement of the space.",img/popos/560_mission_st.jpg,,,,,37.78892,-122.39908,,TRUE,00:00-24:00,,Open At All Times,TRUE,,,,TRUE,,,,,,45 chairs with 15 tables.134 linear seating onl ledges. 10 linear seats on benches,None,,,cafe,,,,,,49,Excellent,TRUE,,2013-07-13 04:23:43 UTC,2013-07-13 04:23:43 UTC
199 Fremont St,199 Fremont,199 Fremont St,popos,urban garden,SOMA,"This large plaza space features extensive rock landscaping and artwork, designed in collaboration by Paul Kos, a conceptual sculptor, and Robert Haas, a poet and landscape architect. There are two adjoined areas, one of which has food service. The plaza is lined with birch trees, Sierra granite, and boulders at sitting height. The garden wall is engraved with a Haas poem and a fountain trickles in to a circular basin adding tranquility to the space.",img/popos/199_fremont_st.jpg,,,,,37.78967,-122.39491,7,TRUE,00:00-24:00,,Open At All Times,TRUE,,,,TRUE,,,,,,Rock planter box seating. Approx 114 linear seats plus 17 iondividual rocks,None,,,Cafe,,,,,,42,Excellent,TRUE,,2013-07-13 04:23:43 UTC,2013-07-13 04:23:43 UTC
Spear Street Plaza,160 Spear,160 Spear St,popos,urban garden,SOMA,Well landscaped walkway with seating and tables.,img/popos/spear_street_plaza.jpg,,,,,37.791547,-122.393371,3,FALSE,,,Open Business Hours,,,,,,,,,,,,,,,,,,,,,36,Excellent,FALSE,,2013-07-13 04:23:43 UTC,2013-07-13 04:23:43 UTC
1 Market St,One Market,1 Market St,popos,plaza,Financial District,This large plaza is marked by the hexagonal tower that faces the Mission Street entrance. Several food services open to the premises. This is a great spot to stop of a meal or sit down and soak up some sun.,img/popos/1_market_st.jpg,,,,,37.793639,-122.394106,1,TRUE,00:00-24:00,,Open At All Times,,,,,,,,,,,,,,,,,,,,,34,Excellent,FALSE,,2013-07-13 04:23:43 UTC,2013-07-13 04:23:43 UTC
123 Mission St,123 Mission,123 Mission St,popos,urban garden,SOMA,"This shady plaza is the perfect spot to escape the congestion of the downtown area. It is subdivided in to three alcoves by densely filled planters, all built at sitting height. The lush green setting softens the concrete and granite surroundings. Four food vendors are located nearby.",img/popos/123_mission_st.jpg,,,,,37.79219,-122.39423,2,TRUE,00:00-24:00,,Open At All Times,TRUE,,,,TRUE,,,,,,122 linear seats,No signs for any,,,Yes,,,,,,33,Excellent,TRUE,,2013-07-13 04:23:43 UTC,2013-07-13 04:23:43 UTC
14 Fremont St,14 Fremont,14 Fremont St,popos,pedestrian walkway & urban garden,SOMA,"This wide open space is a walkway connecting Fremont Street and 1st Street.  Half of the space is designated for customer seating for the adjacent cafes, while the other half is a cleanly manicured urban garden with patches of landscaped grass and strategically placed planters with trees.",img/popos/14_fremont_st.jpg,,,,,37.790766,-122.397889,5,TRUE,00:00-24:00,,Open At All Times,,,,,,,,,,,,,,,,,,,,,27,Excellent,FALSE,,2013-07-13 04:23:43 UTC,2013-07-13 04:23:43 UTC
425 Market St,425 Market,425 Market St,popos,urban garden,Financial District,"This shady urban garden is a great gem tucked between two highrises. Its sleek design features granite seating, flowers, planters, and trees. This is a great spot for relaxing with a good book, or sipping your favorite beverage. Open at all times.",img/popos/425_market_st.jpg,,,,,37.791112,-122.39851,4,TRUE,00:00-24:00,,Open At All Times,,,,,,,,,,,,,,,,,,,,,26,Excellent,FALSE,,2013-07-13 04:23:43 UTC,2013-07-13 04:23:43 UTC
525 Market St,525 Market,525 Market St,popos,urban garden,Financial District,"This two tiered, urban garden has a granite fountain and plenty of seating. Landscaping softens the hard granite setting and areas offer great patches of sun. A restaurant is located on site and opens in to the space. Open at all times.",img/popos/525_market_st.jpg,,,,,37.790343,-122.399737,3,TRUE,00:00-24:00,,Open At All Times,,,,,,,,,,,,,,,,,,,,,25,Excellent,FALSE,,2013-07-13 04:23:43 UTC,2013-07-13 04:23:43 UTC
Citygroup Center,Citygroup Center,1 Sansome St,popos,greenhouse,Financial District,"Built in the shell of the 1912 neoclassical London-Paris Bank building, this greenhouse provides a more sheltered space, while still letting in plenty of natural light. With its marble arches and corinthian columns, this POPOS is reminiscent of a Roman setting. Palm trees and other plants give a natural repreive to the otherwise cold setting, and an Art Deco bronze sculputer adds an artistic flair to the space. A cafe sits on the premise with plenty of tables and chairs.",img/popos/citygroup_center.jpg,,,,,37.79048,-122.400798,1,FALSE,,,Open Business Hours,,,,,,,,,,,,,,,,,,,,,19,Excellent,FALSE,,2013-07-13 04:23:43 UTC,2013-07-13 04:23:43 UTC
100 Pine St,100 Pine,100 Pine St,popos,urban garden,Financial District,"Tucked between two skyscrapers, this hidden urban garden is a wonderful little gem that can be accessed either through the front entrance of the building or a narrow walkway on Front Street. This shaded space offers water fountains, beautiful landscaping, and art. Food is offered on the site and there are designer tables and chairs to sit and eat.",img/popos/100-pine-640.jpg,,,,,37.792739,-122.399159,5,FALSE,,,Open Business Hours,TRUE,,,,TRUE,,,,,,,,,,Yes.,,,,,,16,Excellent,FALSE,,2013-07-13 04:23:43 UTC,2013-07-13 04:23:43 UTC
101 California St,101 California,101 California St,popos,urban garden,Financial District,Three large stepped pyramids used for seating and planter beds occupy the perimeter of this expansive plaza. A granite fountain gives the surroundings a peaceful quality. There are two restaurants on the buildings ground floor with ample outdoor seating. This is a great place to stop for lunch and catch some sun.,img/popos/101-california-640.jpg,,,,,37.79326,-122.3981,6,TRUE,,,Open At All Times,,,,,,,,,,,"None. Stairs? Some planter box seating but doesn't meet linear seating specs (12'' H and 9'' depth""",None,,,None,,,,,,15,Excellent,TRUE,,2013-07-13 04:23:43 UTC,2013-07-13 04:23:43 UTC
One California St,One California,One California St,popos,snippet,Financial District,"Located directly across the street from 50 California, this mini plaza feels like an extension to its neighbor across the way. This snippet also features various shaped planters placed on a striped pavement of green stone and rose-colored granite. The cafe on the ground floor of the building fills some of the space with tables and chairs for its customers. Open at all times.",img/popos/one-california-640.jpg,,TRUE,"Outdoor planters. Nice seating and sidewalk space but ultimately not interesting, considering its proximity to other quality POPOS.",LH,37.793353,-122.397284,,TRUE,,,Open At All Times,,,,,,,,,,,,,,,,,,,,,14,Excellent,FALSE,,2013-07-13 04:23:42 UTC,2013-07-13 04:23:42 UTC
50 California St,50 California,50 California St,popos,snippet,Financial District,"Occupying the building setback, this small plaza and wrap-around walkway is a lovely little spot to stop and sit. It is scattered with various shaped planters, each with ledges placed at sitting height. A small cafe with outdoor seating sits to the side of the space. Open at all times.",img/popos/50-california-640.jpg,,,,,37.793807,-122.397531,7,TRUE,00:00-24:00,,Open At All Times,,,,,,,,,,,,,,,,,,,,,13,Excellent,FALSE,,2013-07-13 04:23:42 UTC,2013-07-13 04:23:42 UTC
343 Sansome St,343 Sansome,343 Sansome St,popos,terrace,Financial District,"This fifteenth floor open space has excellent views of surrounding buildings and streets, as well as the San Francisco Bay. The open terrace includes various types of seating, beautiful olive trees, and Joan Brown's Four Seasons obelisk which stands in the center. Adjacent to the building, just off Leidesdorff Street, sits a lunchtime mall which is available from 11am to 2pm. Two food vendors are on the ground floor of the building.",img/popos/343-sansome-640.jpg,,,,,37.79374,-122.40146,3,FALSE,10:00-17:00,Mo-Fr,Open Business Hours,TRUE,,,,,,,,,,"18 chairs, 50 linear seats on planter box sizes.",None,,,None,,,,,,6,Excellent,TRUE,,2013-07-13 04:23:42 UTC,2013-07-13 04:23:42 UTC
Redwood Park,Redwood Park,535 Washington St,popos,urban park,Financial District,"Located at the base of the Transamerica Pyramid, this hidden oasis features a beautiful redwood grove, luscious ferns, and a tall water fountain, making the perfect escape from the bustling surroundings. The area also has an array of bronze sculptures, grassy patches, and ample seating. Take-out food vendors are nearby. This urban park is closed after office hours.",img/popos/redwood-park-01-640.jpg,,,,,37.795052,-122.402168,1,FALSE,,,Open Business Hours,TRUE,,,,FALSE,,,,,,,,,,None,,,,,,1,Excellent,FALSE,,2013-07-13 04:23:42 UTC,2013-07-13 04:23:42 UTC
